ticker,mean,q10,q50,q90,n,q10_adj,q50_adj,q90_adj,mean_adj,hist_mean_6m,shift
SPY,-0.08028465509414673,-0.25435537099838257,-0.04156571626663208,0.13933587074279785,340,-0.16436392106297276,0.048425733668777726,0.22932732067820766,0.009706794841263078,0.04842573366877773,0.0899914499354098
QQQ,-0.02412313222885132,-0.23331725597381592,-0.0019573569297790527,0.21999967098236084,326,-0.16581569438382995,0.06554420466020691,0.28750123257234683,0.043378429361134646,0.06554420466020691,0.06750156158998596
IWM,-0.09967809915542603,-0.2732923626899719,-0.07292985916137695,0.0890510082244873,312,-0.15311651241094623,0.04724599111764874,0.209226858503513,0.020497751123599667,0.04724599111764873,0.12017585027902569
EFA,-0.03368145227432251,-0.15749865770339966,-0.012059330940246582,0.13804244995117188,297,-0.10491118967107288,0.04052813709208019,0.19062991798349865,0.018906015758004262,0.04052813709208019,0.05258746803232677
EEM,-0.1130906343460083,-0.25885140895843506,-0.09671789407730103,0.0801621675491333,277,-0.10839983245092424,0.05373368243020979,0.23061374405664412,0.037360942161502514,0.05373368243020979,0.15045157650751081
VNQ,-0.0369754433631897,-0.13694292306900024,-0.020942986011505127,0.08477044105529785,260,-0.06870732131854239,0.04729261573895273,0.1530060428057557,0.03126015838726816,0.04729261573895273,0.06823560175045786
TLT,-0.04186999797821045,-0.1384832262992859,-0.029314517974853516,0.06749141216278076,286,-0.08737178515605241,0.02179692316837996,0.11860285330601424,0.009241443165023025,0.021796923168379955,0.051111441143233474
IEF,0.0008929967880249023,-0.047591567039489746,0.002543330192565918,0.06274771690368652,286,-0.03188134824973929,0.01825354898231638,0.07845793569343698,0.016603215577775363,0.01825354898231638,0.01571021878975046
LQD,-0.004786491394042969,-0.0593721866607666,0.005538582801818848,0.07926023006439209,286,-0.04152669739923119,0.023384072063354258,0.0971057193259275,0.013058997867492442,0.023384072063354258,0.01784548926153541
HYG,-0.013711929321289062,-0.06708341836929321,0.00345003604888916,0.05101275444030762,229,-0.04324913052236776,0.02728432389581462,0.07484704228723307,0.010122358525636397,0.02728432389581462,0.02383428784692546
MUB,-0.0030190348625183105,-0.03852725028991699,0.0038230419158935547,0.04954338073730469,224,-0.02681545059156764,0.015534841614242907,0.06125518043565404,0.008692764835831042,0.015534841614242907,0.011711799698349352
TIP,-0.0029420852661132812,-0.027641236782073975,0.003827333450317383,0.046780943870544434,269,-0.01336788002696326,0.018100690205428097,0.061054300625655145,0.011331271488997433,0.018100690205428097,0.014273356755110714
GLD,0.05733323097229004,-0.08810573816299438,0.06141936779022217,0.27914702892303467,258,-0.09295622910417903,0.056568876849037525,0.27429653798185005,0.052482740031105396,0.056568876849037525,-0.004850490941184643
SLV,-0.06714963912963867,-0.32881706953048706,-0.03672325611114502,0.45683372020721436,241,-0.24219013432011843,0.04990367909922362,0.543460655417583,0.01947729608072997,0.04990367909922362,0.08662693521036864
USO,0.028185725212097168,-0.2819060683250427,0.023211121559143066,0.43084049224853516,241,-0.31033868797427255,-0.005221498090086773,0.4024078725993053,-0.0002468944371326713,-0.005221498090086774,-0.02843261964922984
USL,-0.08229392766952515,-0.2833842635154724,-0.06046569347381592,0.20268547534942627,221,-0.21115322508577733,0.011765344955879165,0.27491651377912135,-0.010062889239830064,0.011765344955879171,0.07223103842969508
DBC,-0.06050002574920654,-0.24278217554092407,-0.03740054368972778,0.2208338975906372,243,-0.18987010316818032,0.01551152868301596,0.27374596996338096,-0.0075879533764628,0.015511528683015956,0.05291207237274374
DBA,0.005574703216552734,-0.11669039726257324,0.0067359209060668945,0.18635833263397217,232,-0.11101756547253523,0.012408752696104901,0.19203116442401016,0.011247535006590741,0.012408752696104901,0.005672831790038007
UUP,-0.000988006591796875,-0.06570595502853394,0.005792856216430664,0.07322633266448975,230,-0.06249031630340661,0.009008494941557994,0.07644197138961707,0.0022276321333304545,0.009008494941557994,0.0032156387251273295
FXF,-0.0318947434425354,-0.1045183539390564,-0.022194743156433105,0.05480825901031494,239,-0.07179092477897603,0.01053268600364727,0.08753568817039531,0.0008326857175449745,0.010532686003647271,0.032727429160080375
FXE,-0.009751081466674805,-0.08276402950286865,-0.01029735803604126,0.05470764636993408,245,-0.07025852490032308,0.0022081465665043133,0.06721315097247965,0.0027544231358707684,0.002208146566504313,0.012505504602545573
FXY,0.0073146820068359375,-0.11569845676422119,-0.005269408226013184,0.10037052631378174,231,-0.11580252785713747,-0.005373479318929464,0.10026645522086546,0.007210610913919657,-0.005373479318929464,-0.00010407109291628042
BTC-USD,0.006159543991088867,-0.5666511058807373,0.01150977611541748,1.2840662002563477,140,-0.02247323176485283,0.555687650231302,1.8282440743722321,0.5503374181069733,0.555687650231302,0.5441778741158845
XLK,-0.018379807472229004,-0.2239140272140503,0.002185344696044922,0.20611357688903809,329,-0.16794688389819767,0.05815248801189753,0.2620807202048907,0.0375873358436236,0.05815248801189753,0.055967143315852605
XLF,-0.010540902614593506,-0.12947219610214233,0.011306285858154297,0.14391589164733887,329,-0.0985353505924102,0.042243131367886426,0.174852737157071,0.020395942895138623,0.042243131367886426,0.03093684550973213
XLV,0.004996299743652344,-0.10179930925369263,0.02674722671508789,0.18934786319732666,329,-0.08646742400068078,0.04207911196809974,0.2046797484503385,0.020328184996664195,0.04207911196809974,0.015331885253011851
XLE,-0.06733846664428711,-0.24805521965026855,-0.03110450506210327,0.21320247650146484,329,-0.1645546686040955,0.05239604598406977,0.2967030275476379,0.016162084401885934,0.052396045984069765,0.08350055104617304
XLI,-0.039872825145721436,-0.21883940696716309,0.00454401969909668,0.22518348693847656,329,-0.17160525051099476,0.051778176155265004,0.2724176433946449,0.007361331310446889,0.051778176155265004,0.047234156456168325
XLY,-0.0047223567962646484,-0.1917523741722107,0.018727898597717285,0.2002781629562378,329,-0.1557434443386005,0.05473682843132749,0.236287092789848,0.031286573037345555,0.05473682843132749,0.036008929833610204
XLP,0.009194016456604004,-0.10000216960906982,0.029692888259887695,0.16037774085998535,329,-0.09314850653580747,0.03654655133315004,0.1672314039332477,0.016047679529866347,0.03654655133315004,0.0068536630732623435
XLB,-0.025589466094970703,-0.173630952835083,0.005924224853515625,0.19923627376556396,329,-0.13244161176412034,0.047113565924478296,0.24042561483652664,0.015599874975991967,0.047113565924478296,0.04118934107096267
XLU,0.0162200927734375,-0.13376617431640625,0.02396702766418457,0.20513319969177246,329,-0.11379944956473939,0.04393375241585142,0.22509992444343932,0.03618681752510435,0.04393375241585142,0.019966724751666852
KBE,-0.060804128646850586,-0.21077334880828857,-0.04033780097961426,0.07974302768707275,246,-0.13551468708640563,0.0349208607422687,0.1550016894089557,0.014454533075032375,0.0349208607422687,0.07525866172188296
